
2025/02/03 (13:55:56) | ===> btop++ v.1.4.0
2025/02/03 (13:55:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (14:07:08) | ===> btop++ v.1.4.0
2025/02/03 (14:07:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (14:10:31) | ===> btop++ v.1.4.0
2025/02/03 (14:10:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:01:07) | ===> btop++ v.1.4.0
2025/02/03 (22:01:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:01:31) | ===> btop++ v.1.4.0
2025/02/03 (22:01:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:05:01) | ===> btop++ v.1.4.0
2025/02/03 (22:05:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:05:20) | ===> btop++ v.1.4.0
2025/02/03 (22:05:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:11:52) | ===> btop++ v.1.4.0
2025/02/03 (22:11:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (22:11:59) | ===> btop++ v.1.4.0
2025/02/03 (22:11:59) | WARNING: Intel GPU: Failed to initialize PMU
